130.176.55.0/24          MX        QRO50-C1       130.176.55.154      200ms
18.160.106.0/24          MX        QRO51-P1       18.160.106.191      338ms
18.160.125.0/24          MX        QRO51-P2       18.160.125.66       207ms
18.160.104.0/24          MX        QRO51-P1       18.160.104.51       208ms
18.160.128.0/24          MX        QRO51-P2       18.160.128.155      220ms
18.160.113.0/24          MX        QRO51-P1       18.160.113.181      221ms
18.160.130.0/24          MX        QRO51-P2       18.160.130.153      237ms
18.160.108.0/24          MX        QRO51-P1       18.160.108.97       239ms
18.160.111.0/24          MX        QRO51-P1       18.160.111.81       241ms
18.160.115.0/24          MX        QRO51-P1       18.160.115.189      245ms
18.160.112.0/24          MX        QRO51-P1       18.160.112.54       248ms
18.160.131.0/24          MX        QRO51-P2       18.160.131.26       251ms
18.160.105.0/24          MX        QRO51-P1       18.160.105.117      253ms
18.160.127.0/24          MX        QRO51-P2       18.160.127.56       255ms
18.160.121.0/24          MX        QRO51-P2       18.160.121.162      256ms
18.160.129.0/24          MX        QRO51-P2       18.160.129.97       258ms
18.160.118.0/24          MX        QRO51-P2       18.160.118.126      261ms
18.160.124.0/24          MX        QRO51-P2       18.160.124.185      265ms
18.160.132.0/24          MX        QRO51-P2       18.160.132.39       266ms
18.160.114.0/24          MX        QRO51-P1       18.160.114.115      268ms
18.160.110.0/24          MX        QRO51-P1       18.160.110.108      271ms
18.160.117.0/24          MX        QRO51-P1       18.160.117.103      276ms
